Año,Mes,Día,Hora(utc),Altura(mm)
2016,3,25,20,78 
2016,3,25,21,18 
2016,3,25,22,22 
2016,3,25,23,94 
2016,3,26,0,224 
2016,3,26,1,373 
2016,3,26,2,499 
2016,3,26,3,572 
2016,3,26,4,583 
2016,3,26,5,521 
2016,3,26,6,387 
2016,3,26,7,211 
2016,3,26,8,43 
2016,3,26,9,-74 
2016,3,26,10,-121 
2016,3,26,11,-90 
2016,3,26,12,9 
2016,3,26,13,147 
2016,3,26,14,279 
2016,3,26,15,371 
2016,3,26,16,409 
2016,3,26,17,390 
2016,3,26,18,316 
2016,3,26,19,208 
2016,3,26,20,107 
2016,3,26,21,51 
2016,3,26,22,54 
2016,3,26,23,118 
2016,3,27,0,232 
2016,3,27,1,372 
2016,3,27,2,495 
2016,3,27,3,569 
2016,3,27,4,582 
2016,3,27,5,533 
2016,3,27,6,421 
2016,3,27,7,262 
2016,3,27,8,97 
2016,3,27,9,-31 
2016,3,27,10,-97 
2016,3,27,11,-94 
2016,3,27,12,-28 
2016,3,27,13,84 
2016,3,27,14,203 
2016,3,27,15,293 
2016,3,27,16,337 
2016,3,27,17,333 
2016,3,27,18,285 
2016,3,27,19,206 
2016,3,27,20,124 
2016,3,27,21,77 
2016,3,27,22,82 
2016,3,27,23,141 
2016,3,28,0,243 
2016,3,28,1,369 
2016,3,28,2,486 
2016,3,28,3,560 
2016,3,28,4,575 
2016,3,28,5,534 
2016,3,28,6,443 
2016,3,28,7,309 
2016,3,28,8,159 
2016,3,28,9,31 
2016,3,28,10,-47 
2016,3,28,11,-68 
2016,3,28,12,-34 
2016,3,28,13,44 
2016,3,28,14,138 
2016,3,28,15,217 
2016,3,28,16,258 
2016,3,28,17,262 
2016,3,28,18,234 
2016,3,28,19,183 
2016,3,28,20,127 
2016,3,28,21,94 
2016,3,28,22,106 
2016,3,28,23,163 
2016,3,29,0,255 
2016,3,29,1,365 
2016,3,29,2,472 
2016,3,29,3,544 
2016,3,29,4,561 
2016,3,29,5,526 
2016,3,29,6,451 
2016,3,29,7,344 
2016,3,29,8,218 
2016,3,29,9,103 
2016,3,29,10,24 
2016,3,29,11,-11 
2016,3,29,12,-4 
2016,3,29,13,37 
2016,3,29,14,97 
2016,3,29,15,152 
2016,3,29,16,182 
2016,3,29,17,185 
2016,3,29,18,168 
2016,3,29,19,141 
2016,3,29,20,112 
2016,3,29,21,101 
2016,3,29,22,124 
2016,3,29,23,184 
2016,3,30,0,270 
2016,3,30,1,366 
2016,3,30,2,456 
2016,3,30,3,519 
2016,3,30,4,537 
2016,3,30,5,507 
2016,3,30,6,444 
2016,3,30,7,361 
2016,3,30,8,267 
2016,3,30,9,177 
2016,3,30,10,109 
2016,3,30,11,71 
2016,3,30,12,59 
2016,3,30,13,68 
2016,3,30,14,90 
2016,3,30,15,110 
2016,3,30,16,118 
2016,3,30,17,109 
2016,3,30,18,94 
2016,3,30,19,82 
2016,3,30,20,80 
2016,3,30,21,95 
2016,3,30,22,137 
2016,3,30,23,205 
2016,3,31,0,289 
2016,3,31,1,373 
2016,3,31,2,444 
2016,3,31,3,491 
2016,3,31,4,502 
2016,3,31,5,474 
2016,3,31,6,420 
2016,3,31,7,358 
2016,3,31,8,296 
2016,3,31,9,240 
2016,3,31,10,197 
2016,3,31,11,170 
2016,3,31,12,153 
2016,3,31,13,138 
2016,3,31,14,122 
2016,3,31,15,102 
2016,3,31,16,74 
2016,3,31,17,43 
2016,3,31,18,18 
2016,3,31,19,12 
2016,3,31,20,31 
2016,3,31,21,74 
2016,3,31,22,142 
2016,3,31,23,227 
